"ID","frame","dates","direction","track","ifgm_url"
"us6000jqxc","005D_05199_131313","20230128_20230329","D","005","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/005/005D_05199_131313/interferograms/20230128_20230329/20230128_20230329.geo.diff_pha.tif"
"us6000jqxc","027A_05393_131313","20230306_20230330","A","027","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/027/027A_05393_131313/interferograms/20230306_20230330/20230306_20230330.geo.diff_pha.tif"
"us6000jqxc","027A_05393_131313","20230222_20230330","A","027","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/027/027A_05393_131313/interferograms/20230222_20230330/20230222_20230330.geo.diff_pha.tif"
"us6000jqxc","027A_04994_131313","20230306_20230330","A","027","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/027/027A_04994_131313/interferograms/20230306_20230330/20230306_20230330.geo.diff_pha.tif"
"us6000jqxc","027A_04994_131313","20230222_20230330","A","027","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/027/027A_04994_131313/interferograms/20230222_20230330/20230222_20230330.geo.diff_pha.tif"
"us6000jqxc","027A_05194_131313","20230222_20230330","A","027","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/027/027A_05194_131313/interferograms/20230222_20230330/20230222_20230330.geo.diff_pha.tif"
"us6000jqxc","027A_05194_131313","20230306_20230330","A","027","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/027/027A_05194_131313/interferograms/20230306_20230330/20230306_20230330.geo.diff_pha.tif"
"us6000jqxc","100A_05036_121313","20230215_20230323","A","100","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/100/100A_05036_121313/interferograms/20230215_20230323/20230215_20230323.geo.diff_pha.tif"
"us6000jqxc","100A_05036_121313","20230227_20230323","A","100","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/100/100A_05036_121313/interferograms/20230227_20230323/20230227_20230323.geo.diff_pha.tif"
"us6000jqxc","100A_05236_141313","20221229_20230227","A","100","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/100/100A_05236_141313/interferograms/20221229_20230227/20221229_20230227.geo.diff_pha.tif"
"us6000jqxc","100A_05236_141313","20230215_20230323","A","100","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/100/100A_05236_141313/interferograms/20230215_20230323/20230215_20230323.geo.diff_pha.tif"
"us6000jqxc","100A_05236_141313","20230203_20230323","A","100","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/100/100A_05236_141313/interferograms/20230203_20230323/20230203_20230323.geo.diff_pha.tif"
"us6000jqxc","100A_05236_141313","20230227_20230323","A","100","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/100/100A_05236_141313/interferograms/20230227_20230323/20230227_20230323.geo.diff_pha.tif"
"us6000jqxc","100A_05036_121313","20230227_20230404","A","100","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/100/100A_05036_121313/interferograms/20230227_20230404/20230227_20230404.geo.diff_pha.tif"
"us6000jqxc","100A_05036_121313","20230323_20230404","A","100","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/100/100A_05036_121313/interferograms/20230323_20230404/20230323_20230404.geo.diff_pha.tif"
"us6000jqxc","100A_05036_121313","20230215_20230404","A","100","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/100/100A_05036_121313/interferograms/20230215_20230404/20230215_20230404.geo.diff_pha.tif"
"us6000jqxc","100A_05236_141313","20221229_20230227","A","100","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/100/100A_05236_141313/interferograms/20221229_20230227/20221229_20230227.geo.diff_pha.tif"
"us6000jqxc","100A_05236_141313","20230203_20230404","A","100","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/100/100A_05236_141313/interferograms/20230203_20230404/20230203_20230404.geo.diff_pha.tif"
"us6000jqxc","100A_05236_141313","20230323_20230404","A","100","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/100/100A_05236_141313/interferograms/20230323_20230404/20230323_20230404.geo.diff_pha.tif"
"us6000jqxc","100A_05236_141313","20230215_20230404","A","100","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/100/100A_05236_141313/interferograms/20230215_20230404/20230215_20230404.geo.diff_pha.tif"
"us6000jqxc","100A_05236_141313","20230227_20230404","A","100","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/100/100A_05236_141313/interferograms/20230227_20230404/20230227_20230404.geo.diff_pha.tif"
"us6000jqxc","100A_05236_141313","20221229_20230227","A","100","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/100/100A_05236_141313/interferograms/20221229_20230227/20221229_20230227.geo.diff_pha.tif"
"us6000jqxc","100A_05236_141313","20230203_20230404","A","100","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/100/100A_05236_141313/interferograms/20230203_20230404/20230203_20230404.geo.diff_pha.tif"
"us6000jqxc","100A_05236_141313","20230323_20230404","A","100","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/100/100A_05236_141313/interferograms/20230323_20230404/20230323_20230404.geo.diff_pha.tif"
"us6000jqxc","100A_05236_141313","20230215_20230404","A","100","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/100/100A_05236_141313/interferograms/20230215_20230404/20230215_20230404.geo.diff_pha.tif"
"us6000jqxc","100A_05236_141313","20230227_20230404","A","100","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/100/100A_05236_141313/interferograms/20230227_20230404/20230227_20230404.geo.diff_pha.tif"
"us6000jqxc","100A_05438_131313","20230227_20230323","A","100","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/100/100A_05438_131313/interferograms/20230227_20230323/20230227_20230323.geo.diff_pha.tif"
"us6000jqxc","100A_05438_131313","20230215_20230323","A","100","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/100/100A_05438_131313/interferograms/20230215_20230323/20230215_20230323.geo.diff_pha.tif"
"us6000jqxc","100A_05438_131313","20230203_20230323","A","100","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/100/100A_05438_131313/interferograms/20230203_20230323/20230203_20230323.geo.diff_pha.tif"
"us6000jqxc","173A_05151_131313","20230208_20230304","A","173","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/173/173A_05151_131313/interferograms/20230208_20230304/20230208_20230304.geo.diff_pha.tif"
"us6000jqxc","173A_05151_131313","20230127_20230304","A","173","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/173/173A_05151_131313/interferograms/20230127_20230304/20230127_20230304.geo.diff_pha.tif"
"us6000jqxc","173A_05151_131313","20230220_20230304","A","173","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/173/173A_05151_131313/interferograms/20230220_20230304/20230220_20230304.geo.diff_pha.tif"
"us6000jqxc","173A_05151_131313","20230115_20230304","A","173","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/173/173A_05151_131313/interferograms/20230115_20230304/20230115_20230304.geo.diff_pha.tif"
"us6000jqxc","173A_05151_131313","20230208_20230328","A","173","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/173/173A_05151_131313/interferograms/20230208_20230328/20230208_20230328.geo.diff_pha.tif"
"us6000jqxc","173A_05151_131313","20230220_20230328","A","173","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/173/173A_05151_131313/interferograms/20230220_20230328/20230220_20230328.geo.diff_pha.tif"
"us6000jqxc","173A_05151_131313","20230304_20230328","A","173","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/173/173A_05151_131313/interferograms/20230304_20230328/20230304_20230328.geo.diff_pha.tif"
"us6000jqxc","173A_05151_131313","20230127_20230328","A","173","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/173/173A_05151_131313/interferograms/20230127_20230328/20230127_20230328.geo.diff_pha.tif"
"us6000jqxc","173A_05151_131313","20230208_20230409","A","173","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/173/173A_05151_131313/interferograms/20230208_20230409/20230208_20230409.geo.diff_pha.tif"
"us6000jqxc","173A_05151_131313","20230304_20230409","A","173","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/173/173A_05151_131313/interferograms/20230304_20230409/20230304_20230409.geo.diff_pha.tif"
"us6000jqxc","173A_05151_131313","20230220_20230409","A","173","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/173/173A_05151_131313/interferograms/20230220_20230409/20230220_20230409.geo.diff_pha.tif"
